x, y, label
2,89,1
3,77,1
1,85,1
4,56,1
3,56,1
5,58,1
1,60,1
4,67,1
3,81,1
5,50,1
5,55,1
6,70,1
2,64,1
9,87,1
9,78,1
6,94,1
5,39,1
7,80,1
6,75,1
4,46,1
9,58,1
3,65,1
6,97,1
7,73,1
9,78,1
8,73,1
8,74,1
4,51,1
6,58,1
4,43,1
5,86,1
6,93,1
3,69,1
2,90,1
9,36,1
2,86,1
2,83,1
8,69,1
7,50,1
7,84,1
6,66,1
8,42,1
1,42,1
2,95,1
3,78,1
4,57,1
3,64,1
7,42,1
6,55,1
7,73,1
8,52,1
7,70,1
3,93,1
3,73,1
5,90,1
3,68,1
2,35,1
4,87,1
1,37,1
3,78,1
3,49,1
8,50,1
8,48,1
3,85,1
2,47,1
4,72,1
9,65,1
3,86,1
8,40,1
1,67,1
2,50,1
2,39,1
2,72,1
2,89,1
9,88,1
6,85,1
8,53,1
7,90,1
5,34,1
9,94,1
8,84,1
4,32,1
7,80,1
4,34,1
3,90,1
4,76,1
6,56,1
1,48,1
2,78,1
6,95,1
2,82,1
6,60,1
8,81,1
7,82,1
4,49,1
2,78,1
1,52,1
1,96,1
4,86,1
9,71,1
3,48,1
6,34,1
2,89,1
3,39,1
2,87,1
9,69,1
9,33,1
2,35,1
2,96,1
4,48,1
2,42,1
9,75,1
2,58,1
5,64,1
4,47,1
8,34,1
4,39,1
7,46,1
8,44,1
9,54,1
9,34,1
4,61,1
8,96,1
1,77,1
8,95,1
2,55,1
9,94,1
2,79,1
2,37,1
7,84,1
9,46,1
5,32,1
1,90,1
1,70,1
3,62,1
2,90,1
2,88,1
7,74,1
7,38,1
9,50,1
7,41,1
2,94,1
1,84,1
8,95,1
4,74,1
5,64,1
7,61,1
2,41,1
2,40,1
9,96,1
1,34,1
7,46,1
6,62,1
5,62,1
9,61,1
8,93,1
6,37,1
6,69,1
3,70,1
1,74,1
9,80,1
8,38,1
4,88,1
5,82,1
3,84,1
2,90,1
7,97,1
1,36,1
8,69,1
9,81,1
4,88,1
6,82,1
7,97,1
9,45,1
2,88,1
5,77,1
5,88,1
4,40,1
8,38,1
2,96,1
7,91,1
6,91,1
8,50,1
2,96,1
9,70,1
5,48,1
9,69,1
9,46,1
3,90,1
1,91,1
6,46,1
1,87,1
8,95,1
6,76,1
7,80,1
7,46,1
3,35,1
3,86,1
6,58,1
6,82,1
9,94,1
9,44,1
1,64,1
8,34,1
6,51,1
7,33,1
6,46,1
6,33,1
5,94,1
5,71,1
9,42,1
6,47,1
3,72,1
9,72,1
2,96,1
6,62,1
3,71,1
7,94,1
2,52,1
9,53,1
6,54,1
9,52,1
3,53,1
7,60,1
6,78,1
8,41,1
3,87,1
8,86,1
1,87,1
5,97,1
3,65,1
6,80,1
5,46,1
2,52,1
2,61,1
9,39,1
7,97,1
8,95,1
5,56,1
2,96,1
4,90,1
6,91,1
7,53,1
9,80,1
4,74,1
1,81,1
2,36,1
1,85,1
8,79,1
6,46,1
2,41,1
5,77,1
3,41,1
5,76,1
1,74,1
5,32,1
7,62,1
5,40,1
2,44,1
8,34,1
3,71,1
2,54,1
8,89,1
6,32,1
4,89,1
7,63,1
1,54,1
7,49,1
1,39,1
4,68,1
6,57,1
1,60,1
8,92,1
4,71,1
8,45,1
1,52,1
9,79,1
7,44,1
8,84,1
4,46,1
3,36,1
8,53,1
1,84,1
1,84,1
6,35,1
7,41,1
6,92,1
3,53,1
9,58,1
9,86,1
6,68,1
5,94,1
8,38,1
6,32,1
3,49,1
7,43,1
6,62,1
9,49,1
7,51,1
7,43,1
6,73,1
5,33,1
7,53,1
5,44,1
9,48,1
4,64,1
9,68,1
8,44,1
7,63,1
6,61,1
8,70,1
6,73,1
3,75,1
6,45,1
1,39,1
9,72,1
2,61,1
6,76,1
6,75,1
2,73,1
4,96,1
6,94,1
7,97,1
4,37,1
1,91,1
6,81,1
4,85,1
2,83,1
5,80,1
6,59,1
8,67,1
8,94,1
1,60,1
9,90,1
6,55,1
4,87,1
1,86,1
4,36,1
4,59,1
9,72,1
6,93,1
3,53,1
9,90,1
5,85,1
5,82,1
9,61,1
6,50,1
4,90,1
8,78,1
6,57,1
3,75,1
4,50,1
4,61,1
9,93,1
1,91,1
3,34,1
6,44,1
7,37,1
9,89,1
7,54,1
8,69,1
8,40,1
3,78,1
2,56,1
6,55,1
7,80,1
2,80,1
3,38,1
6,72,1
2,37,1
1,54,1
3,53,1
2,79,1
6,57,1
7,97,1
8,58,1
9,44,1
9,55,1
6,35,1
9,90,1
1,68,1
4,83,1
5,56,1
7,77,1
1,44,1
2,62,1
5,64,1
4,48,1
4,57,1
8,57,1
1,35,1
7,45,1
2,58,1
2,48,1
3,69,1
4,37,1
4,78,1
7,96,1
5,36,1
6,36,1
7,33,1
6,52,1
9,51,1
1,75,1
6,47,1
8,58,1
8,41,1
7,67,1
7,39,1
3,50,1
3,69,1
9,36,1
8,75,1
3,51,1
6,64,1
1,35,1
6,73,1
6,65,1
7,70,1
3,50,1
1,72,1
5,34,1
6,95,1
1,76,1
5,66,1
7,61,1
7,88,1
1,69,1
1,45,1
6,87,1
7,75,1
7,88,1
8,65,1
4,95,1
7,46,1
6,88,1
6,43,1
9,87,1
4,55,1
7,32,1
5,92,1
4,67,1
4,81,1
8,90,1
9,75,1
5,83,1
5,80,1
4,97,1
8,52,1
2,80,1
6,45,1
3,46,1
4,37,1
4,97,1
1,94,1
9,79,1
4,84,1
2,97,1
7,45,1
3,92,1
6,81,1
7,71,1
3,57,1
4,60,1
9,50,1
6,48,1
7,59,1
6,88,1
2,38,1
7,83,1
2,57,1
7,62,1
5,88,1
5,33,1
8,60,1
4,38,1
9,94,1
6,86,1
9,42,1
1,95,1
4,52,1
5,69,1
2,41,1
9,58,1
1,47,1
3,78,1
1,61,1
6,70,1
5,73,1
1,67,1
4,81,1
4,54,1
7,85,1
8,89,1
6,49,1
2,97,1
1,94,1
3,78,1
6,47,1
6,74,1
4,53,1
4,37,1
5,80,1
4,66,1
4,92,1
6,42,1
7,65,1
2,76,1
3,86,1
5,58,1
7,52,1
8,95,1
1,66,1
6,65,1
4,66,1
4,68,1
2,93,1
7,61,1
8,94,1
5,65,1
4,95,1
3,34,1
1,37,1
8,89,1
7,44,1
5,86,1
8,47,1
2,92,1
1,67,1
6,78,1
3,54,1
1,70,1
9,40,1
2,64,1
4,43,1
4,82,1
7,68,1
1,73,1
5,75,1
4,55,1
3,56,1
1,39,1
1,90,1
8,52,1
8,80,1
3,44,1
1,87,1
8,48,1
4,45,1
2,91,1
1,92,1
8,56,1
4,58,1
9,32,1
3,78,1
2,33,1
8,70,1
6,53,1
5,50,1
4,88,1
9,42,1
8,59,1
2,56,1
8,94,1
5,78,1
7,42,1
6,89,1
5,51,1
1,40,1
4,82,1
3,80,1
2,45,1
2,67,1
7,40,1
4,68,1
8,47,1
4,66,1
9,45,1
1,89,1
5,54,1
8,72,1
3,47,1
1,87,1
6,51,1
4,61,1
3,64,1
1,47,1
8,90,1
3,49,1
9,40,1
9,80,1
7,43,1
1,68,1
3,76,1
4,52,1
5,80,1
9,86,1
8,89,1
7,94,1
1,90,1
2,49,1
9,96,1
6,48,1
5,57,1
4,69,1
3,81,1
6,58,1
9,47,1
5,36,1
2,66,1
9,81,1
8,38,1
4,53,1
7,87,1
4,56,1
7,81,1
6,83,1
4,36,1
2,32,1
4,32,1
7,87,1
5,58,1
1,89,1
9,65,1
2,54,1
5,68,1
1,59,1
7,35,1
1,41,1
3,61,1
3,46,1
3,81,1
2,62,1
3,81,1
2,85,1
4,46,1
4,50,1
5,93,1
8,70,1
4,52,1
9,66,1
9,58,1
2,39,1
8,84,1
4,61,1
8,83,1
5,81,1
8,43,1
9,51,1
3,52,1
8,91,1
5,90,1
2,60,1
5,53,1
6,84,1
9,61,1
3,65,1
4,83,1
8,92,1
1,53,1
2,54,1
9,66,1
4,43,1
5,37,1
6,48,1
8,57,1
5,62,1
4,97,1
3,59,1
5,84,1
5,48,1
5,58,1
6,46,1
5,83,1
7,49,1
6,58,1
5,57,1
2,88,1
2,42,1
2,91,1
4,87,1
4,93,1
7,85,1
8,49,1
3,88,1
8,79,1
9,38,1
6,37,1
5,34,1
3,34,1
6,66,1
2,47,1
1,88,1
1,70,1
7,71,1
9,53,1
6,73,1
4,82,1
7,40,1
9,72,1
8,89,1
1,73,1
4,56,1
7,39,1
9,80,1
5,34,1
2,86,1
3,92,1
7,47,1
6,72,1
6,74,1
8,73,1
8,66,1
6,50,1
3,82,1
1,39,1
1,69,1
1,48,1
3,82,1
2,57,1
1,83,1
3,39,1
1,91,1
7,76,1
2,39,1
4,45,1
4,46,1
1,40,1
9,59,1
2,39,1
3,66,1
5,94,1
3,69,1
8,77,1
9,68,1
8,96,1
1,32,1
2,63,1
8,34,1
9,52,1
1,88,1
7,75,1
8,96,1
6,85,1
1,65,1
6,60,1
1,65,1
3,52,1
6,53,1
5,80,1
4,88,1
3,64,1
7,72,1
3,89,1
1,33,1
3,89,1
5,76,1
7,86,1
6,62,1
4,36,1
3,57,1
4,73,1
2,86,1
5,51,1
9,40,1
7,92,1
2,94,1
6,77,1
7,38,1
7,38,1
4,68,1
2,71,1
8,56,1
2,93,1
1,81,1
2,93,1
1,55,1
4,78,1
8,52,1
6,65,1
1,97,1
1,38,1
1,60,1
5,32,1
4,55,1
2,75,1
9,80,1
5,54,1
3,95,1
9,80,1
4,97,1
9,41,1
6,82,1
9,97,1
8,92,1
8,58,1
6,61,1
5,68,1
2,67,1
5,41,1
4,46,1
8,90,1
9,47,1
1,56,1
1,41,1
9,34,1
6,83,1
3,45,1
1,75,1
8,58,1
6,50,1
6,76,1
2,55,1
3,42,1
1,87,1
1,40,1
6,89,1
4,41,1
9,94,1
3,56,1
2,36,1
4,83,1
3,77,1
6,57,1
7,54,1
4,63,1
5,51,1
2,32,1
7,54,1
9,96,1
7,81,1
1,37,1
5,59,1
9,43,1
3,41,1
3,45,1
6,70,1
8,44,1
5,92,1
5,40,1
1,66,1
7,45,1
3,52,1
2,83,1
1,55,1
1,48,1
5,76,1
4,93,1
5,83,1
9,86,1
6,49,1
3,35,1
2,87,1
9,66,1
1,85,1
2,82,1
2,53,1
6,42,1
8,60,1
2,59,1
8,39,1
5,36,1
1,58,1
7,61,1
2,79,1
4,63,1
1,66,1
7,60,1
8,62,1
3,95,1
6,61,1
3,86,1
3,55,1
1,48,1
7,47,1
4,69,1
2,96,1
1,56,1
3,39,1
5,96,1
9,60,1
8,75,1
2,78,1
4,39,1
4,84,1
2,40,1
5,77,1
4,69,1
9,56,1
6,35,1
5,73,1
9,70,1
3,32,1
3,45,1
9,84,1
2,65,1
6,94,1
6,48,1
2,79,1
1,33,1
3,86,1
7,79,1
9,69,1
6,49,1
9,84,1
3,56,1
8,51,1
4,88,1
5,53,1
1,54,1
7,97,1
9,62,1
4,76,1
5,83,1
2,82,1
2,76,1
1,94,1
5,70,1
2,50,1
9,94,1
1,86,1
6,50,1
8,73,1
3,89,1
5,50,1
4,87,1
7,78,1
2,73,1
8,43,1
3,61,1
2,60,1
8,34,1
5,44,1
2,90,1
8,74,1
8,51,1
1,92,1
3,45,1
7,53,1
6,47,1
5,93,1
1,89,1
5,48,1
9,82,1
2,59,1
9,67,1
9,34,1
5,47,1
2,38,1
4,78,1
9,79,1
7,41,1
8,32,1
1,95,1
6,52,1
9,58,1
2,38,1
3,85,1
2,63,1
8,64,1
4,38,1
8,97,1
6,73,1
8,36,1
1,73,1
1,87,1
6,66,1
2,42,1
8,79,1
1,42,1
6,35,1
5,81,1
5,64,1
5,42,1
8,84,1
7,46,1
7,89,1
7,58,1
6,79,1
8,48,1
6,89,1
2,67,1
3,42,1
5,44,1
8,62,1
6,43,1
7,70,1
7,74,1
5,62,1
2,90,1
9,39,1
5,77,1
4,92,1
1,90,1
5,85,1
2,56,1
1,66,1
6,56,1
8,47,1
8,59,1
9,55,1
5,55,1
3,36,1
4,41,1
2,43,1
1,70,1
5,97,1
1,68,1
2,54,1
8,40,1
3,93,1
4,44,1
7,97,1
6,73,1
9,39,1
1,59,1
5,38,1
6,39,1
7,36,1
4,95,1
2,42,1
9,92,1
7,90,1
8,48,1
3,57,1
3,39,1
4,64,1
1,85,1
3,62,1
6,62,1
6,32,1
4,75,1
7,84,1
6,44,1
6,92,1
3,72,1
4,69,1
4,73,1
4,76,1
8,76,1
7,45,1
3,72,1
8,89,1
2,76,1
2,34,1
8,96,1
4,71,1
7,96,1
6,37,1
2,71,1
4,35,1
9,67,1
8,66,1
3,72,1
1,32,1
3,56,1
7,83,1
6,63,1
5,59,1
2,39,1
7,33,1
4,74,1
9,86,1
4,89,1
6,93,1
5,72,1
9,48,1
3,53,1
5,44,1
5,95,1
5,84,1
7,64,1
8,67,1
1,56,1
4,34,1
4,81,1
5,34,1
1,37,1
6,43,1
6,86,1
6,91,1
4,75,1
4,81,1
8,45,1
6,63,1
1,84,1
6,66,1
2,85,1
4,71,1
1,39,1
8,39,1
2,96,1
7,69,1
1,64,1
1,78,1
2,73,1
7,68,1
6,42,1
3,65,1
6,59,1
2,34,1
4,62,1
7,79,1
5,43,1
2,62,1
5,85,1
6,57,1
3,47,1
5,44,1
2,95,1
8,66,1
9,96,1
7,67,1
7,67,1
4,46,1
1,64,1
8,51,1
4,66,1
6,74,1
5,50,1
4,48,1
1,59,1
1,41,1
2,44,1
1,48,1
4,32,1
5,81,1
9,68,1
7,57,1
4,70,1
1,69,1
9,63,1
4,67,1
6,45,1
9,82,1
3,50,1
5,70,1
8,42,1
5,68,1
5,71,1
1,49,1
4,96,1
1,86,1
6,83,1
9,63,1
9,38,1
4,75,1
6,97,1
9,71,1
3,82,1
1,36,1
9,51,1
2,82,1
6,42,1
9,39,1
8,58,1
7,33,1
7,58,1
5,46,1
1,78,1
7,50,1
1,38,1
3,49,1
6,93,1
8,41,1
2,38,1
3,70,1
6,85,1
6,32,1
7,87,1
8,81,1
3,56,1
8,55,1
9,69,1
4,93,1
6,45,1
4,50,1
1,49,1
5,40,1
3,47,1
2,33,1
5,83,1
5,82,1
9,85,1
5,88,1
6,77,1
9,77,1
9,39,1
1,33,1
5,87,1
6,57,1
7,50,1
9,91,1
7,92,1
4,67,1
8,87,1
2,85,1
2,75,1
7,52,1
1,55,1
9,39,1
4,69,1
7,57,1
8,42,1
7,47,1
1,72,1
5,53,1
7,72,1
3,32,1
4,45,1
5,75,1
8,92,1
3,90,1
8,82,1
3,42,1
7,40,1
6,61,1
8,46,1
7,87,1
6,41,1
1,70,1
4,80,1
9,54,1
8,93,1
1,64,1
9,69,1
2,75,1
8,97,1
3,94,1
2,84,1
2,61,1
6,49,1
2,53,1
4,77,1
6,35,1
7,63,1
1,90,1
2,84,1
9,88,1
3,43,1
7,91,1
8,75,1
9,51,1
1,74,1
2,57,1
2,38,1
7,93,1
2,37,1
6,52,1
4,44,1
8,76,1
6,32,1
5,59,1
1,84,1
5,89,1
8,44,1
5,74,1
5,60,1
2,53,1
1,91,1
2,35,1
3,35,1
9,70,1
6,74,1
3,70,1
9,84,1
4,48,1
4,82,1
9,34,1
4,95,1
8,83,1
7,34,1
9,43,1
8,44,1
9,96,1
9,88,1
3,80,1
3,38,1
5,56,1
2,86,1
3,83,1
1,59,1
8,64,1
9,95,1
7,38,1
8,72,1
6,73,1
8,49,1
2,81,1
3,92,1
8,76,1
8,73,1
9,94,1
5,38,1
8,91,1
1,39,1
3,51,1
1,90,1
8,79,1
4,58,1
3,85,1
5,57,1
2,71,1
6,47,1
5,48,1
1,42,1
8,63,1
1,95,1
9,52,1
6,34,1
4,82,1
2,58,1
9,39,1
3,95,1
3,97,1
5,34,1
6,63,1
6,53,1
2,39,1
5,74,1
2,33,1
2,35,1
3,53,1
2,53,1
1,84,1
2,79,1
4,60,1
3,63,1
3,89,1
9,34,1
4,95,1
9,62,1
3,56,1
5,75,1
2,37,1
8,59,1
1,68,1
3,93,1
2,93,1
5,35,1
1,49,1
8,95,1
1,50,1
1,54,1
3,41,1
8,53,1
7,58,1
5,42,1
5,78,1
3,81,1
5,73,1
5,63,1
8,45,1
8,93,1
7,62,1
8,76,1
6,57,1
9,80,1
7,62,1
3,88,1
3,36,1
2,70,1
7,40,1
3,88,1
6,93,1
9,48,1
6,61,1
8,70,1
6,71,1
4,65,1
8,53,1
8,48,1
9,47,1
9,70,1
7,37,1
1,97,1
1,59,1
8,78,1
4,47,1
4,90,1
6,41,1
2,78,1
9,58,1
1,33,1
8,97,1
7,63,1
7,70,1
1,84,1
7,52,1
7,65,1
1,82,1
4,55,1
2,82,1
8,75,1
3,60,1
9,64,1
9,54,1
5,74,1
6,41,1
6,48,1
6,85,1
7,73,1
1,61,1
2,62,1
7,33,1
9,97,1
6,57,1
3,64,1
6,81,1
2,55,1
7,97,1
9,60,1
4,42,1
8,59,1
1,41,1
2,62,1
5,86,1
5,51,1
4,41,1
3,73,1
6,46,1
4,50,1
2,85,1
3,52,1
8,38,1
8,57,1
6,91,1
9,60,1
6,38,1
7,84,1
7,47,1
5,56,1
2,63,1
4,40,1
3,75,1
1,79,1
9,95,1
2,68,1
2,68,1
2,60,1
2,94,1
5,45,1
4,58,1
1,52,1
2,86,1
2,71,1
8,79,1
4,73,1
5,62,1
2,38,1
5,49,1
1,40,1
9,94,1
2,61,1
8,50,1
8,47,1
2,76,1
3,41,1
5,60,1
7,41,1
5,32,1
5,51,1
3,92,1
5,32,1
9,43,1
8,57,1
9,54,1
7,79,1
3,37,1
4,49,1
3,44,1
6,53,1
9,37,1
5,49,1
9,41,1
2,92,1
4,79,1
9,72,1
9,62,1
2,91,1
6,37,1
9,60,1
8,45,1
8,58,1
5,74,1
5,61,1
6,73,1
4,89,1
8,92,1
6,36,1
4,43,1
5,40,1
1,83,1
8,77,1
1,78,1
8,78,1
8,80,1
6,86,1
3,90,1
4,52,1
3,73,1
7,53,1
5,35,1
6,33,1
3,37,1
8,89,1
6,63,1
8,57,1
1,68,1
9,72,1
1,38,1
3,93,1
3,80,1
5,92,1
2,45,1
1,74,1
8,75,1
5,92,1
3,68,1
4,59,1
9,34,1
2,55,1
4,48,1
7,46,1
2,34,1
2,77,1
4,39,1
9,53,1
9,60,1
4,89,1
9,65,1
8,66,1
1,97,1
4,85,1
2,66,1
1,59,1
3,87,1
2,49,1
4,70,1
4,42,1
9,83,1
8,89,1
7,88,1
8,49,1
2,40,1
1,68,1
8,39,1
5,42,1
7,65,1
4,74,1
5,61,1
8,39,1
1,55,1
2,82,1
1,85,1
4,46,1
9,34,1
9,59,1
2,49,1
5,91,1
3,81,1
8,72,1
9,54,1
1,90,1
2,50,1
2,58,1
6,37,1
2,62,1
7,51,1
4,37,1
6,94,1
5,54,1
8,90,1
2,94,1
3,42,1
9,49,1
2,94,1
4,63,1
3,90,1
8,45,1
7,82,1
2,60,1
6,70,1
7,37,1
4,87,1
9,49,1
4,32,1
5,44,1
4,68,1
2,33,1
7,50,1
7,85,1
9,87,1
9,34,1
1,58,1
1,44,1
5,88,1
3,82,1
8,43,1
5,68,1
4,35,1
3,87,1
3,61,1
7,60,1
6,48,1
3,90,1
9,45,1
4,33,1
7,66,1
7,58,1
4,83,1
9,32,1
4,90,1
3,33,1
6,89,1
3,70,1
7,46,1
6,33,1
2,33,1
7,63,1
5,89,1
6,72,1
2,43,1
9,82,1
7,71,1
7,84,1
1,46,1
8,58,1
4,54,1
9,32,1
3,91,1
6,33,1
8,36,1
1,46,1
1,48,1
3,94,1
3,94,1
6,90,1
7,69,1
5,83,1
6,88,1
2,35,1
8,73,1
6,41,1
3,88,1
3,84,1
4,87,1
7,51,1
1,37,1
1,79,1
2,41,1
7,60,1
6,76,1
7,88,1
5,75,1
2,82,1
3,52,1
6,73,1
7,87,1
3,34,1
7,60,1
4,70,1
1,61,1
7,63,1
6,53,1
3,45,1
7,96,1
3,56,1
4,40,1
4,52,1
7,92,1
3,93,1
4,57,1
3,87,1
3,69,1
6,72,1
3,60,1
1,67,1
1,90,1
7,55,1
5,93,1
6,70,1
3,67,1
2,86,1
8,83,1
9,55,1
4,69,1
1,46,1
7,76,1
1,45,1
7,69,1
9,85,1
1,73,1
7,67,1
1,50,1
7,44,1
9,49,1
2,61,1
5,63,1
9,63,1
5,54,1
9,67,1
5,80,1
3,51,1
1,71,1
7,61,1
5,79,1
3,52,1
5,37,1
8,52,1
9,70,1
5,58,1
2,60,1
6,76,1
7,97,1
4,63,1
7,90,1
4,56,1
9,38,1
6,48,1
4,52,1
9,79,1
7,53,1
7,67,1
9,71,1
6,42,1
5,78,1
2,43,1
6,68,1
7,45,1
8,97,1
7,35,1
5,53,1
4,70,1
1,76,1
3,84,1
1,88,1
6,82,1
2,43,1
3,65,1
2,77,1
2,69,1
8,95,1
6,90,1
1,56,1
3,81,1
1,64,1
3,72,1
3,40,1
6,95,1
2,73,1
8,77,1
6,54,1
5,53,1
7,50,1
1,88,1
9,57,1
1,89,1
6,96,1
7,60,1
8,62,1
4,78,1
7,64,1
2,91,1
5,42,1
9,38,1
6,93,1
8,70,1
8,87,1
6,34,1
5,85,1
9,83,1
4,72,1
5,78,1
2,73,1
5,44,1
8,73,1
6,34,1
6,74,1
5,63,1
6,96,1
9,39,1
9,56,1
6,63,1
9,39,1
2,78,1
2,86,1
6,36,1
8,45,1
4,64,1
7,33,1
5,77,1
3,97,1
7,85,1
2,70,1
4,52,1
8,95,1
9,39,1
2,41,1
1,69,1
8,82,1
4,73,1
7,44,1
4,86,1
9,96,1
6,38,1
4,32,1
2,66,1
4,88,1
2,91,1
4,53,1
8,52,1
3,32,1
4,81,1
7,66,1
1,51,1
4,97,1
7,63,1
8,58,1
2,76,1
1,83,1
1,45,1
1,91,1
4,75,1
8,39,1
5,52,1
9,78,1
2,42,1
4,93,1
1,53,1
5,48,1
1,36,1
8,43,1
9,38,1
4,60,1
2,38,1
5,53,1
2,70,1
5,68,1
8,50,1
7,75,1
5,69,1
4,48,1
6,70,1
8,54,1
7,46,1
8,46,1
1,45,1
3,60,1
7,79,1
1,42,1
4,97,1
5,94,1
1,70,1
9,68,1
3,46,1
2,57,1
5,67,1
2,79,1
9,36,1
8,74,1
1,56,1
3,56,1
5,89,1
4,97,1
3,39,1
1,44,1
2,85,1
4,36,1
2,65,1
2,35,1
8,97,1
9,36,1
6,72,1
1,38,1
3,96,1
7,88,1
7,64,1
3,44,1
2,44,1
7,45,1
4,57,1
3,96,1
7,91,1
4,70,1
3,33,1
1,94,1
1,54,1
6,38,1
2,96,1
7,37,1
1,71,1
7,82,1
7,72,1
6,35,1
1,78,1
3,83,1
1,69,1
4,84,1
7,69,1
5,89,1
7,82,1
7,71,1
7,47,1
8,45,1
8,84,1
2,83,1
6,74,1
4,34,1
5,91,1
8,73,1
1,39,1
8,63,1
2,53,1
6,35,1
8,92,1
3,77,1
3,67,1
5,90,1
4,54,1
5,81,1
2,33,1
3,87,1
1,48,1
7,66,1
3,75,1
6,88,1
8,94,1
4,39,1
8,76,1
2,72,1
3,58,1
7,83,1
6,51,1
2,64,1
7,75,1
7,65,1
1,39,1
3,51,1
7,70,1
3,39,1
8,41,1
6,76,1
4,97,1
5,67,1
3,83,1
4,42,1
3,65,1
1,32,1
5,59,1
5,34,1
7,49,1
4,47,1
8,80,1
8,94,1
9,54,1
9,48,1
3,33,1
5,82,1
8,93,1
4,58,1
7,75,1
1,59,1
7,37,1
9,47,1
1,39,1
9,66,1
7,74,1
6,49,1
5,65,1
3,84,1
5,40,1
2,70,1
2,46,1
5,59,1
5,50,1
8,57,1
2,64,1
8,83,1
5,74,1
6,63,1
4,56,1
6,93,1
7,60,1
1,70,1
4,72,1
5,95,1
8,53,1
7,47,1
6,89,1
3,59,1
7,45,1
6,57,1
8,60,1
7,58,1
9,97,1
6,85,1
3,86,1
3,52,1
3,38,1
2,60,1
7,55,1
4,65,1
2,42,1
3,43,1
6,69,1
9,50,1
8,62,1
2,68,1
8,54,1
6,94,1
8,40,1
7,32,1
5,62,1
4,90,1
9,46,1
3,81,1
9,76,1
3,68,1
6,97,1
6,74,1
4,90,1
2,51,1
2,52,1
3,80,1
2,47,1
5,49,1
1,83,1
6,82,1
1,50,1
4,71,1
1,45,1
4,32,1
9,97,1
8,72,1
4,51,1
6,51,1
7,93,1
5,35,1
7,97,1
6,82,1
7,50,1
8,50,1
4,94,1
1,95,1
1,52,1
4,58,1
6,82,1
1,72,1
3,32,1
3,91,1
1,41,1
1,78,1
1,70,1
3,53,1
4,65,1
6,64,1
2,81,1
6,33,1
9,33,1
6,79,1
8,51,1
5,97,1
5,39,1
1,84,1
6,73,1
5,40,1
1,96,1
6,96,1
3,33,1
4,44,1
6,43,1
8,65,1
7,48,1
4,55,1
2,87,1
3,74,1
4,65,1
2,54,1
9,85,1
7,70,1
7,90,1
1,77,1
3,62,1
6,92,1
3,67,1
4,67,1
4,58,1
6,47,1
1,40,1
4,74,1
1,56,1
7,80,1
7,36,1
5,52,1
4,77,1
6,58,1
5,67,1
8,52,1
1,36,1
9,41,1
5,89,1
7,94,1
5,72,1
2,83,1
5,63,1
9,52,1
5,59,1
8,91,1
5,77,1
1,32,1
2,59,1
1,80,1
5,72,1
3,77,1
3,47,1
1,88,1
9,45,1
6,48,1
5,60,1
2,44,1
4,85,1
7,55,1
6,91,1
3,83,1
2,41,1
1,39,1
2,46,1
7,53,1
3,39,1
2,41,1
2,82,1
6,68,1
4,77,1
7,55,1
1,63,1
8,57,1
3,77,1
4,32,1
4,92,1
8,49,1
3,76,1
9,35,1
3,51,1
1,43,1
4,83,1
2,48,1
8,67,1
8,46,1
5,71,1
2,68,1
6,58,1
3,34,1
4,49,1
1,74,1
7,86,1
7,51,1
7,71,1
2,68,1
2,58,1
